,Date,Open,High,Low,Close,Volume,Company
78,28-Feb-18,75.91,76.08,74.51,74.85,8566538,yahoo
79,1-Mar-18,75.04,75.39,72.91,73.74,9733106,yahoo
80,2-Mar-18,72.35,72.99,71.44,72.69,7649365,yahoo
81,5-Mar-18,72.2,73.57,71.77,73.44,6524384,yahoo
82,6-Mar-18,74.42,75.5,74.36,75.17,9082697,yahoo
83,7-Mar-18,74.03,76.05,74.02,75.98,4973699,yahoo
84,8-Mar-18,76.01,76.27,75.29,75.73,3608699,yahoo
85,9-Mar-18,76.29,76.88,75.76,76.62,6687513,yahoo
86,12-Mar-18,77,77.76,76.54,77.56,7183132,yahoo
87,13-Mar-18,77.98,78.05,75.68,75.97,3937640,yahoo
88,14-Mar-18,76.27,77.67,76.27,77.2,4945618,yahoo
89,15-Mar-18,79.01,80.15,78.53,79.42,9009571,yahoo
90,10-Jan-18,207.57,213.64,206.91,212.52,5951486,netflix
91,11-Jan-18,214.29,217.75,213.35,217.24,7659485,netflix
92,12-Jan-18,217.18,222.55,216,221.23,8199423,netflix
93,16-Jan-18,224.24,226.07,217.2,221.53,13516067,netflix
94,17-Jan-18,221,221.15,216.32,217.5,9123056,netflix
95,18-Jan-18,220.34,220.58,216.55,220.33,8225339,netflix
96,19-Jan-18,222.75,223.49,218.5,220.46,10548567,netflix
97,22-Jan-18,222,227.78,221.2,227.58,17703293,netflix
98,23-Jan-18,255.05,257.71,248.02,250.29,27705332,netflix
99,24-Jan-18,250.88,261.71,249.31,261.3,17352448,netflix
100,25-Jan-18,263,272.3,260.23,269.7,15336378,netflix
101,26-Jan-18,271.48,274.6,268.76,274.6,11021839,netflix
102,29-Jan-18,274.2,286.81,273.92,284.59,17529749,netflix
103,30-Jan-18,277,282.73,272.7,278.8,12482852,netflix
104,31-Jan-18,281.94,282.29,269.58,270.3,11695072,netflix
105,1-Feb-18,266.41,271.95,263.38,265.07,9669011,netflix
106,2-Feb-18,263,270.62,262.71,267.43,9123610,netflix
107,5-Feb-18,262,267.9,250.03,254.26,11896053,netflix
108,6-Feb-18,247.7,266.7,245,265.72,12595801,netflix
109,7-Feb-18,266.58,272.45,264.32,264.56,8981548,netflix
